time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4855,0,0,61,24,81,888,1172,646
4860,0,0,59,23,79,910,1178,644
4865,0,0,53,20,80,873,1138,685
4870,0,0,52,17,92,928,1176,641
4875,0,0,48,25,88,883,1155,652
4880,0,0,53,25,82,885,1171,639
4885,0,0,51,14,90,894,1157,653
4890,0,0,46,16,85,884,1172,639
4895,0,0,41,18,83,886,1149,666
4900,0,0,43,17,81,892,1153,643
4905,0,0,49,17,87,879,1121,674
4910,0,0,53,17,88,904,1140,637
4915,0,0,60,26,77,894,1125,653
4920,0,0,51,26,78,892,1127,633
4925,0,0,60,15,72,899,1111,636
4930,0,0,51,30,92,878,1099,648
4935,0,0,45,33,99,946,1160,600
4940,0,0,64,12,86,874,1092,659
4945,0,0,51,17,92,925,1095,661
4950,0,0,46,16,83,939,1109,643
4955,0,0,50,18,90,907,1070,679
4960,0,0,54,17,83,945,1115,633
4965,0,0,47,19,72,886,1094,644
4970,0,0,46,29,76,882,1130,607
4975,0,0,53,31,79,885,1112,643
4980,0,0,62,26,83,922,1149,615
4985,0,0,60,18,81,884,1107,659
4990,0,0,47,22,78,891,1127,626
4995,0,0,48,24,83,880,1111,635
5000,0,0,51,15,89,896,1126,614
